atk,df,hp,spAtk,spDf,spd,中文名稱,全國編號,初始親密,夢特1,孵化步數,屬性,性別比例,捕捉機率,日文名稱,特性1,特性2,總經驗值,英文名稱,蛋組,身高,進化0,進化1,阿羅拉,體重,屬性1,屬性2
75.0,75.0,90.0,90.0,100.0,70.0,蚊香蛙皇,186.0,70,降雨,5120.0,水,♂ 1 : ♀ 1,45.0,ニョロトノ,濕氣,儲水,1059860.0,Politoed,水中類1,"1.1m / 3'07""",,,152,33.9kg / 74.7lbs,水,
35.0,40.0,35.0,35.0,55.0,50.0,毽子草,187.0,70,穿透,5120.0,草 / 飛,♂ 1 : ♀ 1,255.0,ハネッコ,葉綠素,葉子防守,1059860.0,Hoppip,妖精類 / 植物類,"0.4m / 1'04""",187毽子草→188毽子花進化條件：Level 18,188毽子花→189毽子棉進化條件：Level 27,---,0.5kg / 1.1lbs,草 , 飛
45.0,50.0,55.0,45.0,65.0,80.0,毽子花,188.0,70,穿透,5120.0,草 / 飛,♂ 1 : ♀ 1,120.0,ポポッコ,葉綠素,葉子防守,1059860.0,Skiploom,妖精類 / 植物類,"0.6m / 2'00""",187毽子草→188毽子花進化條件：Level 18,188毽子花→189毽子棉進化條件：Level 27,---,1kg / 2.2lbs,草 , 飛
55.0,70.0,75.0,55.0,95.0,110.0,毽子棉,189.0,70,穿透,5120.0,草 / 飛,♂ 1 : ♀ 1,45.0,ワタッコ,葉綠素,葉子防守,1059860.0,Jumpluff,妖精類 / 植物類,"0.8m / 2'07""",187毽子草→188毽子花進化條件：Level 18,188毽子花→189毽子棉進化條件：Level 27,---,3kg / 6.6lbs,草 , 飛
70.0,55.0,55.0,40.0,55.0,85.0,長尾怪手,190.0,70,連續攻擊,5120.0,普,♂ 1 : ♀ 1,45.0,エイパム,逃跑,撿拾,800000.0,Aipom,陸上類,"0.8m / 2'07""",,,---,11.5kg / 25.4lbs,普,
30.0,30.0,30.0,30.0,30.0,30.0,向日種子,191.0,70,早起,5120.0,草,♂ 1 : ♀ 1,235.0,ヒマナッツ,葉綠素,太陽之力,1059860.0,Sunkern,植物類,"0.3m / 1'00""",,,---,1.8kg / 4lbs,草,
75.0,55.0,75.0,105.0,85.0,30.0,向日花怪,192.0,70,早起,5120.0,草,♂ 1 : ♀ 1,120.0,キマワリ,葉綠素,太陽之力,1059860.0,Sunflora,植物類,"0.8m / 2'07""",蠻幹基礎鮮花防守基礎吸取基礎拍擊基礎,生長Lv4紮根Lv7草笛Lv10超級吸取Lv13,---,8.5kg / 18.7lbs,草,
65.0,45.0,65.0,75.0,45.0,95.0,蜻蜻蜓,193.0,70,察覺,5120.0,蟲 / 飛,♂ 1 : ♀ 1,75.0,ヤンヤンマ,加速,,1000000.0,Yanma,昆蟲類,"1.2m / 3'11""",,,---,38kg / 83.8lbs,蟲 , 飛
45.0,45.0,55.0,25.0,25.0,15.0,烏波,194.0,70,純樸,5120.0,水 / 地,♂ 1 : ♀ 1,255.0,ウパー,濕氣,儲水,1000000.0,Wooper,水中類1 / 陸上類,"0.4m / 1'04""",194烏波→195沼王進化條件：Level 20,,---,8.5kg / 18.7lbs,水 , 地
85.0,85.0,95.0,65.0,65.0,35.0,沼王,195.0,70,純樸,5120.0,水 / 地,♂ 1 : ♀ 1,90.0,ヌオー,濕氣,儲水,1000000.0,Quagsire,水中類1 / 陸上類,"1.4m / 4'07""",194烏波→195沼王進化條件：Level 20,,---,75kg / 165.3lbs,水 , 地
65.0,60.0,65.0,130.0,95.0,110.0,太陽伊布,196.0,70,魔法鏡,8960.0,超,♂ 7 : ♀ 1,45.0,エーフィ,同步,,1000000.0,Espeon,陸上類,"0.9m / 2'11""",,,127,26.5kg / 58.4lbs,超,
65.0,110.0,95.0,60.0,130.0,65.0,月亮伊布,197.0,35,精神力,8960.0,惡,♂ 7 : ♀ 1,45.0,ブラッキー,同步,,1000000.0,Umbreon,陸上類,"1m / 3'03""",,,128,27kg / 59.5lbs,惡,
85.0,42.0,60.0,85.0,42.0,91.0,黑暗鴉,198.0,35,惡作劇之心,5120.0,惡 / 飛,♂ 1 : ♀ 1,30.0,ヤミカラス,不眠,超幸運,1059860.0,Murkrow,飛行類,"0.5m / 1'08""",,,277,2.1kg / 4.6lbs,惡 , 飛
75.0,80.0,95.0,100.0,110.0,30.0,呆呆王,199.0,70,再生力,5120.0,水 / 超,♂ 1 : ♀ 1,70.0,ヤドキング,遲鈍,我行我素,1000000.0,Slowking,怪獸類 / 水中類1,"2m / 6'07""",,,39,79.5kg / 175.3lbs,水 , 超
60.0,60.0,60.0,85.0,85.0,85.0,夢妖,200.0,35,沒有隱藏特性,6400.0,鬼,♂ 1 : ♀ 1,45.0,ムウマ,飄浮,,800000.0,Misdreavus,不定形類,"0.7m / 2'04""",,,66,1kg / 2.2lbs,鬼,
72.0,48.0,48.0,72.0,48.0,48.0,未知圖騰,201.0,70,沒有隱藏特性,10240.0,超,沒有性別,225.0,アンノーン,飄浮,,1000000.0,Unown,,"0.5m / 1'08""",,,---,5kg / 11lbs,超,
33.0,58.0,190.0,33.0,58.0,33.0,果然翁,202.0,70,心靈感應,5120.0,超,♂ 1 : ♀ 1,45.0,ソーナンス,踩影,,1000000.0,Wobbuffet,不定形類,"1.3m / 4'03""",360小果然→202果然翁進化條件：Level 15,,---,28.5kg / 62.8lbs,超,
80.0,65.0,70.0,90.0,65.0,85.0,麒麟奇,203.0,70,食草,5120.0,普 / 超,♂ 1 : ♀ 1,60.0,キリンリキ,精神力,早起,1000000.0,Girafarig,陸上類,"1.5m / 4'11""",,,---,41.5kg / 91.5lbs,普 , 超
65.0,90.0,50.0,35.0,35.0,15.0,榛果球,204.0,70,防塵,5120.0,蟲,♂ 1 : ♀ 1,190.0,クヌギダマ,結實,,1000000.0,Pineco,昆蟲類,"0.6m / 2'00""",204榛果球→205佛烈托斯進化條件：Level 31,,---,7.2kg / 15.9lbs,蟲,
90.0,140.0,75.0,60.0,60.0,40.0,佛烈托斯,205.0,70,防塵,5120.0,蟲 / 鋼,♂ 1 : ♀ 1,75.0,フォレトス,結實,,1000000.0,Forretress,昆蟲類,"1.2m / 3'11""",204榛果球→205佛烈托斯進化條件：Level 31,,---,125.8kg / 277.3lbs,蟲 , 鋼
70.0,70.0,100.0,65.0,65.0,45.0,土龍弟弟,206.0,70,膽怯,5120.0,普,♂ 1 : ♀ 1,190.0,ノコッチ,天恩,逃跑,1000000.0,Dunsparce,陸上類,"1.5m / 4'11""",,,---,14kg / 30.9lbs,普,
75.0,105.0,65.0,35.0,65.0,85.0,天蠍,207.0,70,免疫,5120.0,地 / 飛,♂ 1 : ♀ 1,60.0,グライガー,沙隱,,1059860.0,Gligar,昆蟲類,"1.1m / 3'07""",,,---,64.8kg / 142.9lbs,地 , 飛
85.0,200.0,75.0,55.0,65.0,30.0,大鋼蛇,208.0,70,強行,6400.0,鋼 / 地,♂ 1 : ♀ 1,25.0,ハガネール,結實,堅硬腦袋,1000000.0,Steelix,礦物類,"9.2m / 30'02""",岩石打磨基礎雷電牙基礎冰凍牙基礎火焰牙基礎,玩泥巴基礎撞擊基礎變硬基礎綁緊Lv4,---,400kg / 881.8lbs,鋼 , 地
80.0,50.0,60.0,40.0,40.0,30.0,布魯,209.0,70,膽怯,5120.0,妖,♂ 1 : ♀ 3,190.0,ブルー,威嚇,,800000.0,Snubbull,陸上類 / 妖精類,"0.6m / 2'00""",209布魯→210布魯皇進化條件：Level 23,,258,7.8kg / 17.2lbs,妖,
120.0,75.0,90.0,60.0,60.0,45.0,布魯皇,210.0,70,膽怯,5120.0,妖,♂ 1 : ♀ 3,75.0,グランブル,威嚇,,800000.0,Granbull,陸上類 / 妖精類,"1.4m / 4'07""",209布魯→210布魯皇進化條件：Level 23,,259,48.7kg / 107.4lbs,妖,
95.0,85.0,65.0,55.0,55.0,85.0,千針魚,211.0,70,威嚇,5120.0,水 / 毒,♂ 1 : ♀ 1,45.0,ハリーセン,悠游自如,毒刺,1000000.0,Qwilfish,水中類2,"0.5m / 1'08""",,,---,3.9kg / 8.6lbs,水 , 毒
130.0,100.0,70.0,55.0,80.0,65.0,巨鉗螳螂,212.0,70,輕金屬,6400.0,蟲 / 鋼,♂ 1 : ♀ 1,25.0,ハッサム,蟲之預感,技術高手,1000000.0,Scizor,昆蟲類,"1.8m / 5'11""",巨鉗螳螂→Mega巨鉗螳螂進化條件：,,276,118kg / 260.1lbs,蟲 , 鋼
10.0,230.0,20.0,10.0,230.0,5.0,壺壺,213.0,70,唱反調,5120.0,蟲 / 岩,♂ 1 : ♀ 1,190.0,ツボツボ,結實,貪吃鬼,1059860.0,Shuckle,昆蟲類,"0.6m / 2'00""",,,---,20.5kg / 45.2lbs,蟲 , 岩
125.0,75.0,80.0,40.0,95.0,85.0,赫拉克羅斯,214.0,70,自信過度,6400.0,蟲 / 格,♂ 1 : ♀ 1,45.0,ヘラクロス,毅力,蟲之預感,1250000.0,Heracross,昆蟲類,"1.5m / 4'11""",,,---,54kg / 119lbs,蟲 , 格
95.0,55.0,55.0,35.0,75.0,115.0,狃拉,215.0,35,順手牽羊,5120.0,惡 / 冰,♂ 1 : ♀ 1,60.0,ニューラ,精神力,銳利目光,1059860.0,Sneasel,陸上類,"0.9m / 2'11""",,,249,28kg / 61.7lbs,惡 , 冰
80.0,50.0,60.0,50.0,50.0,40.0,熊寶寶,216.0,70,采蜜,5120.0,普,♂ 1 : ♀ 1,120.0,ヒメグマ,撿拾,,1000000.0,Teddiursa,陸上類,"0.6m / 2'00""",216熊寶寶→217圈圈熊進化條件：Level 30,,---,8.8kg / 19.4lbs,普,
130.0,75.0,90.0,75.0,75.0,55.0,圈圈熊,217.0,70,緊張感,5120.0,普,♂ 1 : ♀ 1,60.0,リングマ,毅力,飛毛腿,1000000.0,Ursaring,陸上類,"1.8m / 5'11""",216熊寶寶→217圈圈熊進化條件：Level 30,,---,125.8kg / 277.3lbs,普,
40.0,40.0,40.0,70.0,40.0,20.0,熔岩蟲,218.0,70,碎裂鎧甲,5120.0,火,♂ 1 : ♀ 1,190.0,マグマッグ,熔岩鎧甲,,1000000.0,Slugma,不定形類,"0.7m / 2'04""",218熔岩蟲→219熔岩蝸牛進化條件：Level 38,,---,35kg / 77.2lbs,火,
50.0,120.0,60.0,90.0,80.0,30.0,熔岩蝸牛,219.0,70,碎裂鎧甲,5120.0,火 / 岩,♂ 1 : ♀ 1,75.0,マグカルゴ,熔岩鎧甲,,1000000.0,Magcargo,不定形類,"0.8m / 2'07""",218熔岩蟲→219熔岩蝸牛進化條件：Level 38,,---,55kg / 121.3lbs,火 , 岩
50.0,40.0,50.0,30.0,30.0,50.0,小山豬,220.0,70,厚脂肪,5120.0,冰 / 地,♂ 1 : ♀ 1,225.0,ウリムー,遲鈍,雪隱,1250000.0,Swinub,陸上類,"0.4m / 1'04""",220小山豬→221長毛豬進化條件：Level 33,221長毛豬→473象牙豬進化條件：已學習招式「原始之力」時升級,---,6.5kg / 14.3lbs,冰 , 地
100.0,80.0,100.0,60.0,60.0,50.0,長毛豬,221.0,70,厚脂肪,5120.0,冰 / 地,♂ 1 : ♀ 1,75.0,イノムー,遲鈍,雪隱,1250000.0,Piloswine,陸上類,"1.1m / 3'07""",220小山豬→221長毛豬進化條件：Level 33,221長毛豬→473象牙豬進化條件：已學習招式「原始之力」時升級,---,55.8kg / 123lbs,冰 , 地
55.0,95.0,65.0,65.0,95.0,35.0,太陽珊瑚,222.0,70,再生力,5120.0,水 / 岩,♂ 1 : ♀ 3,60.0,サニーゴ,自然回復,活力,800000.0,Corsola,水中類1 / 水中類3,"0.6m / 2'00""",,,112,5kg / 11lbs,水 , 岩
65.0,35.0,35.0,65.0,35.0,65.0,鐵炮魚,223.0,70,心情不定,5120.0,水,♂ 1 : ♀ 1,190.0,テッポウオ,活力,,1000000.0,Remoraid,水中類1 / 水中類2,"0.6m / 2'00""",223鐵炮魚→224章魚桶進化條件：Level 25,,---,12kg / 26.5lbs,水,
105.0,75.0,75.0,105.0,75.0,45.0,章魚桶,224.0,70,心情不定,5120.0,水,♂ 1 : ♀ 1,75.0,オクタン,吸盤,,1000000.0,Octillery,水中類1 / 水中類2,"0.9m / 2'11""",223鐵炮魚→224章魚桶進化條件：Level 25,,---,28.5kg / 62.8lbs,水,
55.0,45.0,45.0,65.0,45.0,75.0,信使鳥,225.0,70,不眠,5120.0,冰 / 飛,♂ 1 : ♀ 1,45.0,デリバード,活力,,800000.0,Delibird,水中類1 / 陸上類,"0.9m / 2'11""",,,81,16kg / 35.3lbs,冰 , 飛
40.0,70.0,85.0,80.0,140.0,70.0,巨翅飛魚,226.0,70,水幕,6400.0,水 / 飛,♂ 1 : ♀ 1,25.0,マンタイン,儲水,悠游自如,1250000.0,Mantine,水中類1,"2.1m / 6'11""",信號光束基礎幻象光線基礎種子機關槍基礎信號光束基礎,羽棲基礎撞擊基礎泡沫基礎超音波基礎,---,220kg / 485lbs,水 , 飛
80.0,140.0,65.0,40.0,70.0,70.0,盔甲鳥,227.0,70,碎裂鎧甲,6400.0,鋼 / 飛,♂ 1 : ♀ 1,25.0,エアームド,結實,銳利目光,1250000.0,Skarmory,飛行類,"1.7m / 5'07""",,,208,50.5kg / 111.3lbs,鋼 , 飛
60.0,30.0,45.0,80.0,50.0,65.0,戴魯比,228.0,35,緊張感,5120.0,惡 / 火,♂ 1 : ♀ 1,120.0,デルビル,引火,早起,1250000.0,Houndour,陸上類,"0.6m / 2'00""",228戴魯比→229黑魯加進化條件：Level 24,,---,10.8kg / 23.8lbs,惡 , 火
90.0,50.0,75.0,110.0,80.0,95.0,黑魯加,229.0,35,緊張感,5120.0,惡 / 火,♂ 1 : ♀ 1,45.0,ヘルガー,引火,早起,1250000.0,Houndoom,陸上類,"1.4m / 4'07""",228戴魯比→229黑魯加進化條件：Level 24,,---,35kg / 77.2lbs,惡 , 火
95.0,95.0,75.0,95.0,95.0,85.0,刺龍王,230.0,70,濕氣,5120.0,水 / 龍,♂ 1 : ♀ 1,45.0,キングドラ,悠游自如,狙擊手,1000000.0,Kingdra,水中類1 / 龍類,"1.8m / 5'11""",116墨海馬→117海刺龍進化條件：Level 32,117海刺龍→230刺龍王進化條件：裝備「龍之鱗片」時通信進化,---,152kg / 335.1lbs,水 , 龍
60.0,60.0,90.0,40.0,40.0,40.0,小小象,231.0,70,沙隱,5120.0,地,♂ 1 : ♀ 1,120.0,ゴマゾウ,撿拾,,1000000.0,Phanpy,陸上類,"0.5m / 1'08""",231小小象→232頓甲進化條件：Level 25,,---,33.5kg / 73.9lbs,地,
120.0,120.0,90.0,60.0,60.0,50.0,頓甲,232.0,70,沙隱,5120.0,地,♂ 1 : ♀ 1,60.0,ドンファン,結實,,1000000.0,Donphan,陸上類,"1.1m / 3'07""",231小小象→232頓甲進化條件：Level 25,,---,120kg / 264.6lbs,地,
80.0,90.0,85.0,105.0,95.0,60.0,多邊獸Ⅱ,233.0,70,分析,5120.0,普,沒有性別,45.0,ポリゴン２,複製,下載,1000000.0,Porygon2,礦物類,"0.6m / 2'00""",棱角化基礎電磁炮基礎魔法反射基礎紋理２基礎,撞擊基礎紋理基礎變圓Lv7幻象光線Lv12,218,32.5kg / 71.6lbs,普,
95.0,62.0,73.0,85.0,65.0,85.0,驚角鹿,234.0,70,食草,5120.0,普,♂ 1 : ♀ 1,45.0,オドシシ,威嚇,,1250000.0,Stantler,陸上類,"1.4m / 4'07""",,,---,71.2kg / 157lbs,普,
20.0,35.0,55.0,20.0,45.0,75.0,圖圖犬,235.0,70,心情不定,5120.0,普,♂ 1 : ♀ 1,45.0,ドーブル,我行我素,技術高手,800000.0,Smeargle,陸上類,"1.2m / 3'11""",,,58,58kg / 127.9lbs,普,
35.0,35.0,35.0,35.0,35.0,35.0,無畏小子,236.0,70,幹勁,6400.0,格,♂ 1 : ♀ 0,75.0,バルキー,毅力,不屈之心,1000000.0,Tyrogue,,"0.7m / 2'04""",,,---,21kg / 46.3lbs,格,
95.0,95.0,50.0,35.0,110.0,70.0,戰舞郎,237.0,70,不屈之心,6400.0,格,♂ 1 : ♀ 0,45.0,カポエラー,威嚇,,1000000.0,Hitmontop,人型類,"1.4m / 4'07""",,,---,48kg / 105.8lbs,格,
30.0,15.0,45.0,85.0,65.0,65.0,迷唇娃,238.0,70,濕潤之軀,6400.0,冰 / 超,♂ 0 : ♀ 1,45.0,ムチュール,遲鈍,預知夢,1000000.0,Smoochum,,"0.4m / 1'04""",238迷唇娃→124迷唇姐進化條件：Level 30,,---,6kg / 13.2lbs,冰 , 超
63.0,37.0,45.0,65.0,55.0,95.0,電擊怪,239.0,70,幹勁,6400.0,電,♂ 3 : ♀ 1,45.0,エレキッド,靜電,,1000000.0,Elekid,,"0.6m / 2'00""",239電擊怪→125電擊獸進化條件：Level 30,125電擊獸→466電擊魔獸進化條件：裝備「電力增幅器」時通信進化,226,23.5kg / 51.8lbs,電,
75.0,37.0,45.0,70.0,55.0,83.0,鴨嘴寶寶,240.0,70,幹勁,6400.0,火,♂ 3 : ♀ 1,45.0,ブビィ,火焰之軀,,1000000.0,Magby,,"0.7m / 2'04""",240鴨嘴寶寶→126鴨嘴火獸進化條件：Level 30,126鴨嘴火獸→467鴨嘴炎獸進化條件：裝備「熔岩增幅器」時通信進化,166,21.4kg / 47.2lbs,火,
80.0,105.0,95.0,40.0,70.0,100.0,大奶罐,241.0,70,食草,5120.0,普,♂ 0 : ♀ 1,45.0,ミルタンク,厚脂肪,膽量,1250000.0,Miltank,陸上類,"1.2m / 3'11""",,,138,75.5kg / 166.4lbs,普,
10.0,10.0,255.0,75.0,135.0,55.0,幸福蛋,242.0,140,治癒之心,10240.0,普,♂ 0 : ♀ 1,30.0,ハピナス,自然回復,天恩,800000.0,Blissey,妖精類,"1.5m / 4'11""",440小福蛋→113吉利蛋進化條件：裝備「渾圓之石」時於日間升級,113吉利蛋→242幸福蛋進化條件：親密度220或以上時升級,34,46.8kg / 103.2lbs,普,
85.0,75.0,90.0,115.0,100.0,115.0,雷公,243.0,35,精神力,20480.0,電,沒有性別,3.0,ライコウ,壓迫感,,1250000.0,Raikou,,"1.9m / 6'03""",,,---,178kg / 392.4lbs,電,
115.0,85.0,115.0,90.0,75.0,100.0,炎帝,244.0,35,精神力,20480.0,火,沒有性別,3.0,エンテイ,壓迫感,,1250000.0,Entei,,"2.1m / 6'11""",,,---,198kg / 436.5lbs,火,
75.0,115.0,100.0,90.0,115.0,85.0,水君,245.0,35,精神力,20480.0,水,沒有性別,3.0,スイクン,壓迫感,,1250000.0,Suicune,,"2m / 6'07""",,,---,187kg / 412.3lbs,水,
64.0,50.0,50.0,45.0,50.0,41.0,幼基拉斯,246.0,35,沙隱,10240.0,岩 / 地,♂ 1 : ♀ 1,45.0,ヨーギラス,毅力,,1250000.0,Larvitar,怪獸類,"0.6m / 2'00""",246幼基拉斯→247沙基拉斯進化條件：Level 30,247沙基拉斯→248班基拉斯進化條件：Level 55,---,72kg / 158.7lbs,岩 , 地
84.0,70.0,70.0,65.0,70.0,51.0,沙基拉斯,247.0,35,沒有隱藏特性,10240.0,岩 / 地,♂ 1 : ♀ 1,45.0,サナギラス,蛻皮,,1250000.0,Pupitar,怪獸類,"1.2m / 3'11""",246幼基拉斯→247沙基拉斯進化條件：Level 30,247沙基拉斯→248班基拉斯進化條件：Level 55,---,152kg / 335.1lbs,岩 , 地
134.0,110.0,100.0,95.0,100.0,61.0,班基拉斯,248.0,35,緊張感,10240.0,岩 / 惡,♂ 1 : ♀ 1,45.0,バンギラス,揚沙,,1250000.0,Tyranitar,怪獸類,"2m / 6'07""",246幼基拉斯→247沙基拉斯進化條件：Level 30,247沙基拉斯→248班基拉斯進化條件：Level 55,---,202kg / 445.3lbs,岩 , 惡
90.0,130.0,106.0,90.0,154.0,110.0,洛奇亞,249.0,未有資料,多重鱗片,30720.0,超 / 飛,沒有性別,3.0,ルギア,壓迫感,,1250000.0,Lugia,,"5.2m / 17'01""",,,---,216kg / 476.2lbs,超 , 飛
130.0,90.0,106.0,110.0,154.0,90.0,鳳王,250.0,未有資料,再生力,30720.0,火 / 飛,沒有性別,3.0,ホウオウ,壓迫感,,1250000.0,Ho-Oh,,"3.8m / 12'06""",,,---,199kg / 438.7lbs,火 , 飛
100.0,100.0,100.0,100.0,100.0,100.0,時拉比,251.0,100,沒有隱藏特性,30720.0,超 / 草,沒有性別,45.0,セレビィ,自然回復,,1059860.0,Celebi,,"0.6m / 2'00""",,,---,5kg / 11lbs,超 , 草
45.0,35.0,40.0,65.0,55.0,70.0,木守宮,252.0,70,輕裝,5120.0,草,♂ 7 : ♀ 1,45.0,キモリ,茂盛,,1059860.0,Treecko,怪獸類 / 龍類,"0.5m / 1'08""",252木守宮→253森林蜥蜴進化條件：Level 16,253森林蜥蜴→254蜥蜴王進化條件：Level 36,---,5kg / 11lbs,草,
65.0,45.0,50.0,85.0,65.0,95.0,森林蜥蜴,253.0,70,輕裝,5120.0,草,♂ 7 : ♀ 1,45.0,ジュプトル,茂盛,,1059860.0,Grovyle,怪獸類 / 龍類,"0.9m / 2'11""",252木守宮→253森林蜥蜴進化條件：Level 16,253森林蜥蜴→254蜥蜴王進化條件：Level 36,---,21.6kg / 47.6lbs,草,
85.0,65.0,70.0,105.0,85.0,120.0,蜥蜴王,254.0,70,輕裝,5120.0,草,♂ 7 : ♀ 1,45.0,ジュカイン,茂盛,,1059860.0,Sceptile,怪獸類 / 龍類,"1.7m / 5'07""",252木守宮→253森林蜥蜴進化條件：Level 16,253森林蜥蜴→254蜥蜴王進化條件：Level 36,---,52.2kg / 115.1lbs,草,
60.0,40.0,45.0,70.0,50.0,45.0,火稚雞,255.0,70,加速,5120.0,火,♂ 7 : ♀ 1,45.0,アチャモ,猛火,,1059860.0,Torchic,陸上類,"0.4m / 1'04""",255火稚雞→256力壯雞進化條件：Level 16,256力壯雞→257火焰雞進化條件：Level 36,---,2.5kg / 5.5lbs,火,
85.0,60.0,60.0,85.0,60.0,55.0,力壯雞,256.0,70,加速,5120.0,火 / 格,♂ 7 : ♀ 1,45.0,ワカシャモ,猛火,,1059860.0,Combusken,陸上類,"0.9m / 2'11""",255火稚雞→256力壯雞進化條件：Level 16,256力壯雞→257火焰雞進化條件：Level 36,---,19.5kg / 43lbs,火 , 格
120.0,70.0,80.0,110.0,70.0,80.0,火焰雞,257.0,70,加速,5120.0,火 / 格,♂ 7 : ♀ 1,45.0,バシャーモ,猛火,,1059860.0,Blaziken,陸上類,"1.9m / 6'03""",255火稚雞→256力壯雞進化條件：Level 16,256力壯雞→257火焰雞進化條件：Level 36,---,52kg / 114.6lbs,火 , 格
70.0,50.0,50.0,50.0,50.0,40.0,水躍魚,258.0,70,濕氣,5120.0,水,♂ 7 : ♀ 1,45.0,ミズゴロウ,激流,,1059860.0,Mudkip,怪獸類 / 水中類1,"0.4m / 1'04""",258水躍魚→259沼躍魚進化條件：Level 16,259沼躍魚→260巨沼怪進化條件：Level 36,---,7.6kg / 16.8lbs,水,
85.0,70.0,70.0,60.0,70.0,50.0,沼躍魚,259.0,70,濕氣,5120.0,水 / 地,♂ 7 : ♀ 1,45.0,ヌマクロー,激流,,1059860.0,Marshtomp,怪獸類 / 水中類1,"0.7m / 2'04""",258水躍魚→259沼躍魚進化條件：Level 16,259沼躍魚→260巨沼怪進化條件：Level 36,---,28kg / 61.7lbs,水 , 地
110.0,90.0,100.0,85.0,90.0,60.0,巨沼怪,260.0,70,濕氣,5120.0,水 / 地,♂ 7 : ♀ 1,45.0,ラグラージ,激流,,1059860.0,Swampert,怪獸類 / 水中類1,"1.5m / 4'11""",258水躍魚→259沼躍魚進化條件：Level 16,259沼躍魚→260巨沼怪進化條件：Level 36,---,81.9kg / 180.6lbs,水 , 地
55.0,35.0,35.0,30.0,30.0,35.0,土狼犬,261.0,70,膽怯,3840.0,惡,♂ 1 : ♀ 1,255.0,ポチエナ,逃跑,飛毛腿,1000000.0,Poochyena,陸上類,"0.5m / 1'08""",261土狼犬→262大狼犬進化條件：Level 18,,---,13.6kg / 30lbs,惡,
90.0,70.0,70.0,60.0,60.0,70.0,大狼犬,262.0,70,自信過度,3840.0,惡,♂ 1 : ♀ 1,127.0,グラエナ,威嚇,,1000000.0,Mightyena,陸上類,"1m / 3'03""",261土狼犬→262大狼犬進化條件：Level 18,,---,37kg / 81.6lbs,惡,
30.0,41.0,38.0,30.0,41.0,60.0,蛇紋熊,263.0,70,飛毛腿,3840.0,普,♂ 1 : ♀ 1,255.0,ジグザグマ,撿拾,,1000000.0,Zigzagoon,,"0.4m / 1'04""",263蛇紋熊→264直沖熊進化條件：Level 20,,---,17.5kg / 38.6lbs,普,
70.0,61.0,78.0,50.0,61.0,100.0,直沖熊,264.0,70,飛毛腿,3840.0,普,♂ 1 : ♀ 1,90.0,マッスグマ,撿拾,,1000000.0,Linoone,,"0.5m / 1'08""",263蛇紋熊→264直沖熊進化條件：Level 20,,---,32.5kg / 71.6lbs,普,
45.0,35.0,45.0,20.0,30.0,20.0,刺尾蟲,265.0,70,逃跑,3840.0,蟲,♂ 1 : ♀ 1,255.0,ケムッソ,鱗粉,,1000000.0,Wurmple,,"0.3m / 1'00""",,,---,3.6kg / 7.9lbs,蟲,
35.0,55.0,50.0,25.0,25.0,15.0,甲殼繭,266.0,70,沒有隱藏特性,3840.0,蟲,♂ 1 : ♀ 1,120.0,カラサリス,蛻皮,,1000000.0,Silcoon,昆蟲類,"0.6m / 2'00""",,,---,10kg / 22lbs,蟲,
70.0,50.0,60.0,100.0,50.0,65.0,狩獵鳳蝶,267.0,70,鬥爭心,3840.0,蟲 / 飛,♂ 1 : ♀ 1,45.0,アゲハント,蟲之預感,,1000000.0,Beautifly,昆蟲類,"1m / 3'03""",,,---,28.4kg / 62.6lbs,蟲 , 飛
35.0,55.0,50.0,25.0,25.0,15.0,盾甲繭,268.0,70,沒有隱藏特性,3840.0,蟲,♂ 1 : ♀ 1,120.0,マユルド,蛻皮,,1000000.0,Cascoon,昆蟲類,"0.7m / 2'04""",,,---,11.5kg / 25.4lbs,蟲,
50.0,70.0,60.0,50.0,90.0,65.0,毒粉蛾,269.0,70,沒有隱藏特性,3840.0,蟲 / 毒,♂ 1 : ♀ 1,45.0,ドクケイル,鱗粉,,1000000.0,Dustox,昆蟲類,"1.2m / 3'11""",,,---,31.6kg / 69.7lbs,蟲 , 毒
30.0,30.0,40.0,40.0,50.0,30.0,蓮葉童子,270.0,70,我行我素,3840.0,水 / 草,♂ 1 : ♀ 1,255.0,ハスボー,悠游自如,雨盤,1059860.0,Lotad,水中類1 / 植物類,"0.5m / 1'08""",270蓮葉童子→271蓮帽小童進化條件：Level 14,271蓮帽小童→272樂天河童進化條件：使用道具「水之石」,---,2.6kg / 5.7lbs,水 , 草
50.0,50.0,60.0,60.0,70.0,50.0,蓮帽小童,271.0,70,我行我素,3840.0,水 / 草,♂ 1 : ♀ 1,120.0,ハスブレロ,悠游自如,雨盤,1059860.0,Lombre,水中類1 / 植物類,"1.2m / 3'11""",270蓮葉童子→271蓮帽小童進化條件：Level 14,271蓮帽小童→272樂天河童進化條件：使用道具「水之石」,---,32.5kg / 71.6lbs,水 , 草
70.0,70.0,80.0,90.0,100.0,70.0,樂天河童,272.0,70,我行我素,3840.0,水 / 草,♂ 1 : ♀ 1,45.0,ルンパッパ,悠游自如,雨盤,1059860.0,Ludicolo,水中類1 / 植物類,"1.5m / 4'11""",270蓮葉童子→271蓮帽小童進化條件：Level 14,271蓮帽小童→272樂天河童進化條件：使用道具「水之石」,---,55kg / 121.3lbs,水 , 草
